,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10502,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19523156.0,19523156.0,False,,1,,,,2023-10-25T02:38:00.000Z,34013.02069877343,39199788160.849396,-10.457,-0.98477101,-1.75003102,19.38618518,29.9704891,30.52765201,15.82679414,664041509133.3827,52.9076,714273434674.24,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
1,1027,Ethereum,ETH,ethereum,7612,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120262637.95097296,120262637.95097296,True,,2,,,,2023-10-25T02:38:00.000Z,1791.4504941383814,14348782630.216486,-8.3922,-0.7248441,-0.79069669,14.02473929,13.55044744,8.40670746,-4.36662122,215444562183.65576,17.1671,215444562183.66,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
2,825,Tether USDt,USDT,tether,64248,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,84256686740.46358,87625667476.78386,True,,3,,,,2023-10-25T02:38:00.000Z,1.0000637061290032,54010364909.56937,-3.2468,0.02358007,0.01258841,-0.02970009,0.00717285,0.04699344,0.01514926,84262054407.81845,6.7136,87631249768.86,,2023-10-25T02:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-25 02:40:04.544225
3,1839,BNB,BNB,bnb,1697,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151704670.4290598,151704670.4290598,False,,4,,,,2023-10-25T02:38:00.000Z,227.3053226930489,588823441.8938575,-12.7622,-0.63469146,-2.88061241,7.22429044,8.94511059,4.40076203,-5.07616456,34483279065.920074,2.7475,34483279065.92,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
4,52,XRP,XRP,xrp,1121,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-25T02:38:00.000Z,0.5559836048874085,2573910264.451086,39.021,-0.75001423,0.64922456,13.15705097,10.92444122,6.03559394,-22.08583325,29712335053.843033,2.3675,55598360488.74,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
5,3408,USDC,USDC,usd-coin,14580,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25079035955.326508,25079035955.326508,False,,6,,,,2023-10-25T02:38:00.000Z,1.000027656602517,7492462278.812349,0.5161,0.0001985,0.01809347,0.00520388,-0.00535884,-0.00512757,-0.00151508,25079729556.255436,1.9982,25079729556.26,,2023-10-25T02:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-25 02:40:04.544225
6,5426,Solana,SOL,solana,538,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,417863125.44242483,560729396.150408,True,,7,,,,2023-10-25T02:38:00.000Z,31.204218658272918,1400475837.3605633,-16.7298,-2.82105095,-1.69254339,29.99700156,60.45579743,53.42862589,25.92714371,13039092335.53475,1.0389,17497122685.6,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
7,2010,Cardano,ADA,cardano,953,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35229132399.752,36289808363.508,False,,8,,,,2023-10-25T02:38:00.000Z,0.28138430420580696,358743087.55014414,5.3773,-1.09733147,-1.35080123,14.25550282,15.06200822,8.1814925,-8.57829579,9912924908.078466,0.7898,12662293689.26,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
8,74,Dogecoin,DOGE,dogecoin,813,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141550896383.70526,141550896383.70526,True,,9,,,,2023-10-25T02:38:00.000Z,0.0662754335721863,592069783.2292404,-15.8552,-0.86183523,-2.69691453,12.46240726,8.73649925,5.21008796,-15.1398634,9381347030.361685,0.748,9381347030.36,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
9,1958,TRON,TRX,tron,853,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88857218148.92516,88857236848.79988,True,,10,71659659264.0,6637740620.483326,,2023-10-25T02:38:00.000Z,0.0926286935865736,302493782.9806151,-7.0805,-0.18049059,-0.36044488,4.56135629,10.26554727,19.96120145,12.42804567,8230728032.872114,0.6557,8230729765.02,,2023-10-25T02:38:00.000Z,,,,,,2023-10-25 02:40:04.544225
